FIPS,State,County_Name,County,Population_2010,UIC_2013,Description,City/Suburb/Town/Rural
26029,MI,Charlevoix County,Charlevoix ,"25,949",11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          ",Rural
26031,MI,Cheboygan County,Cheboygan ,"26,152",11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          ",Rural
26047,MI,Emmet County,Emmet ,"32,694",11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          ",Rural
26053,MI,Gogebic County,Gogebic ,"16,427",11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          ",Rural
26063,MI,Huron County,Huron ,"33,118",11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          ",Rural
26069,MI,Iosco County,Iosco ,"25,887",11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          ",Rural
26129,MI,Ogemaw County,Ogemaw ,"21,699",11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          ",Rural
26137,MI,Otsego County,Otsego ,"24,164",11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          ",Rural
26143,MI,Roscommon County,Roscommon ,"24,449",11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          ",Rural
27091,MN,Martin County,Martin ,"20,840",11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          ",Rural
27135,MN,Roseau County,Roseau ,"15,629",11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          ",Rural
27149,MN,Stevens County,Stevens ,"9,726",11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          ",Rural
29079,MO,Grundy County,Grundy ,"10,261",11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          ",Rural
29081,MO,Harrison County,Harrison ,"8,957",11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          ",Rural
29115,MO,Linn County,Linn ,"12,761",11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          ",Rural
29217,MO,Vernon County,Vernon ,"21,159",11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          ",Rural
30001,MT,Beaverhead County,Beaverhead ,"9,246",11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          ",Rural
30017,MT,Custer County,Custer ,"11,699",11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          ",Rural
30021,MT,Dawson County,Dawson ,"8,966",11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          ",Rural
30027,MT,Fergus County,Fergus ,"11,586",11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          ",Rural
30035,MT,Glacier County,Glacier ,"13,399",11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          ",Rural
30041,MT,Hill County,Hill ,"16,096",11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          ",Rural
30073,MT,Pondera County,Pondera ,"6,153",11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          ",Rural
30101,MT,Toole County,Toole ,"5,324",11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          ",Rural
30105,MT,Valley County,Valley ,"7,369",11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          ",Rural
31013,NE,Box Butte County,Box Butte ,"11,308",11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          ",Rural
31031,NE,Cherry County,Cherry ,"5,713",11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          ",Rural
31033,NE,Cheyenne County,Cheyenne ,"9,998",11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          ",Rural
31045,NE,Dawes County,Dawes ,"9,182",11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          ",Rural
31089,NE,Holt County,Holt ,"10,435",11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          ",Rural
31127,NE,Nemaha County,Nemaha ,"7,248",11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          ",Rural
31145,NE,Red Willow County,Red Willow ,"11,055",11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          ",Rural
31147,NE,Richardson County,Richardson ,"8,363",11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          ",Rural
32021,NV,Mineral County,Mineral ,"4,772",11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          ",Rural
32033,NV,White Pine County,White Pine ,"10,030",11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          ",Rural
35007,NM,Colfax County,Colfax ,"13,750",11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          ",Rural
35037,NM,Quay County,Quay ,"9,041",11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          ",Rural
35059,NM,Union County,Union ,"4,549",11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          ",Rural
37015,NC,Bertie County,Bertie ,"21,282",11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          ",Rural
38057,ND,Mercer County,Mercer ,"8,424",11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          ",Rural
38071,ND,Ramsey County,Ramsey ,"11,451",11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          ",Rural
40089,OK,McCurtain County,McCurtain ,"33,151",11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          ",Rural
41001,OR,Baker County,Baker ,"16,134",11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          ",Rural
41025,OR,Harney County,Harney ,"7,422",11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          ",Rural
46123,SD,Tripp County,Tripp ,"5,644",11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          ",Rural
46129,SD,Walworth County,Walworth ,"5,438",11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          ",Rural
48043,TX,Brewster County,Brewster ,"9,232",11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          ",Rural
48075,TX,Childress County,Childress ,"7,041",11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          ",Rural
48105,TX,Crockett County,Crockett ,"3,719",11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          ",Rural
48111,TX,Dallam County,Dallam ,"6,703",11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          ",Rural
48205,TX,Hartley County,Hartley ,"6,062",11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          ",Rural
48211,TX,Hemphill County,Hemphill ,"3,807",11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          ",Rural
48299,TX,Llano County,Llano ,"19,301",11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          ",Rural
48357,TX,Ochiltree County,Ochiltree ,"10,223",11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          ",Rural
48371,TX,Pecos County,Pecos ,"15,507",11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          ",Rural
48377,TX,Presidio County,Presidio ,"7,818",11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          ",Rural
48429,TX,Stephens County,Stephens ,"9,630",11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          ",Rural
48435,TX,Sutton County,Sutton ,"4,128",11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          ",Rural
48503,TX,Young County,Young ,"18,550",11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          ",Rural
49019,UT,Grand County,Grand ,"9,225",11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          ",Rural
49027,UT,Millard County,Millard ,"12,503",11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          ",Rural
49041,UT,Sevier County,Sevier ,"20,802",11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          ",Rural
50019,VT,Orleans County,Orleans ,"27,231",11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          ",Rural
51173,VA,Smyth County,Smyth ,"32,208",11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          ",Rural
55003,WI,Ashland County,Ashland ,"16,157",11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          ",Rural
55129,WI,Washburn County,Washburn ,"15,911",11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          ",Rural
56029,WY,Park County,Park ,"28,205",11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          ",Rural
56031,WY,Platte County,Platte ,"8,667",11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          ",Rural
56043,WY,Washakie County,Washakie ,"8,533",11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents          ",Rural
2013,AK,Aleutians East Borough,Aleutians East Borough,"3,141",12,"Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents  ",Rural
2060,AK,Bristol Bay Borough,Bristol Bay Borough,997,12,"Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents  ",Rural
2070,AK,Dillingham Census Area,Dillingham Census Area,"4,847",12,"Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents  ",Rural
2100,AK,Haines Borough,Haines Borough,"2,508",12,"Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents  ",Rural
2164,AK,Lake and Peninsula Borough,Lake and Peninsula Borough,"1,631",12,"Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents  ",Rural
